,average_rating,num_pages,ratings_count,text_reviews_count,written_books,followers,quotes,discussions,questions,belongs_to_series,main_author,number_of_collaborators,merged_languages,publication_year,main_publisher
0,4.57,652,2095690,27591,609.0,22200.0,882.0,194.0,74.0,1,J.K. Rowling,2,eng,2006.0,Scholastic Inc.
1,4.49,870,2153167,29221,627.0,22200.0,1152.0,307.0,107.0,1,J.K. Rowling,2,eng,2004.0,Scholastic Inc.
2,4.42,352,6333,244,609.0,22200.0,745.0,483.0,127.0,1,J.K. Rowling,1,eng,2003.0,Scholastic
3,4.56,435,2339585,36325,627.0,22200.0,747.0,417.0,121.0,1,J.K. Rowling,2,eng,2004.0,Scholastic Inc.
4,4.78,2690,41428,164,627.0,22200.0,1.0,20.0,2.0,1,J.K. Rowling,2,eng,2004.0,Scholastic
5,3.74,152,19,1,75.0,7.0,0.0,0.0,0.0,0,W. Frederick Zimmerman,1,eng,2005.0,Nimble Books
6,4.73,3342,28242,808,627.0,22200.0,0.0,60.0,2.0,1,J.K. Rowling,1,eng,2005.0,Scholastic
7,4.38,815,3628,254,161.0,21900.0,494.0,27.0,18.0,1,Douglas Adams,1,eng,2005.0,Gramercy Books
8,4.38,815,249558,4080,161.0,21900.0,494.0,27.0,18.0,1,Douglas Adams,1,eng,2002.0,Del Rey Books
9,4.22,215,4930,460,161.0,21900.0,817.0,286.0,52.0,1,Douglas Adams,1,eng,2004.0,Crown
10,4.22,6,1266,253,161.0,21900.0,817.0,286.0,52.0,1,Douglas Adams,2,eng,2005.0,Random House Audio
11,4.38,815,2877,195,161.0,21900.0,494.0,27.0,18.0,1,Douglas Adams,1,eng,1996.0,Wings Books
12,4.21,544,248558,9396,141.0,19500.0,694.0,35.0,29.0,0,Bill Bryson,1,eng,2004.0,Broadway Books
13,3.44,55,7270,499,141.0,19500.0,5.0,1.0,1.0,0,Bill Bryson,1,eng,2002.0,Broadway Books
14,3.87,256,2088,131,141.0,19500.0,48.0,1.0,0.0,0,Bill Bryson,1,eng,2004.0,Broadway Books
15,4.07,335,72451,4245,141.0,19500.0,106.0,10.0,8.0,0,Bill Bryson,1,eng,2001.0,Broadway Books
16,3.9,304,49240,2211,141.0,19500.0,41.0,6.0,2.0,0,Bill Bryson,1,eng,2000.0,Broadway Books
17,3.83,299,45712,2257,141.0,19500.0,48.0,9.0,3.0,0,Bill Bryson,1,eng,1990.0,William Morrow Paperbacks
18,3.86,254,48701,2238,141.0,19500.0,66.0,5.0,4.0,0,Bill Bryson,1,eng,1993.0,William Morrow Paperbacks
19,3.91,324,80609,3301,141.0,19500.0,79.0,9.0,3.0,0,Bill Bryson,1,eng,1997.0,William Morrow Paperbacks
20,3.93,270,28489,2085,141.0,19500.0,123.0,5.0,6.0,0,Bill Bryson,1,eng,1991.0,William Morrow Paperbacks
21,4.59,1728,101233,1550,521.0,68600.0,8.0,15.0,8.0,0,J.R.R. Tolkien,1,eng,2012.0,Ballantine Books
22,4.5,1184,1710,91,521.0,68600.0,934.0,285.0,50.0,1,J.R.R. Tolkien,1,eng,2004.0,Houghton Mifflin Harcourt
23,4.36,398,2128944,13670,521.0,68600.0,770.0,342.0,87.0,1,J.R.R. Tolkien,1,eng,2003.0,Houghton Mifflin Harcourt
24,4.5,1216,1618,140,521.0,68600.0,934.0,285.0,50.0,1,J.R.R. Tolkien,2,eng,2002.0,Houghton Mifflin Harcourt
25,4.53,218,19822,46,4.0,11.0,0.0,0.0,4.0,0,Chris   Smith,3,eng,2003.0,Houghton Mifflin Harcourt
26,4.5,224,359,6,26.0,67.0,0.0,0.0,1.0,0,Jude Fisher,1,eng,2004.0,Houghton Mifflin Harcourt
27,3.84,558,1430,59,155.0,136.0,0.0,0.0,0.0,0,Dave Thomas,6,eng,2005.0,Pragmatic Bookshelf
28,3.72,208,270244,12017,392.0,3359.0,76.0,315.0,95.0,1,Gary Paulsen,1,eng,2000.0,Atheneum Books for Young Readers: Richard Jackson Books
29,4.0,48,36,2,3.0,0.0,0.0,0.0,0.0,0,Donna Ickes,3,eng,1994.0,Teacher Created Resources
30,3.88,144,2067,334,392.0,3359.0,3.0,7.0,7.0,0,Gary Paulsen,1,eng,2001.0,Delacorte Press
31,4.33,56,6,0,7.0,2.0,0.0,0.0,0.0,0,Molly Hatchet,1,eng,2003.0,Cherry Lane Music Company
32,3.45,228,99,16,32.0,105.0,0.0,0.0,0.0,0,Dale Peck,1,eng,2005.0,The New Press
33,3.76,304,167,4,245.0,246.0,0.0,0.0,0.0,1,Angela Knight,9,eng,2005.0,Changeling Press
34,3.6,256,978,111,125.0,313.0,0.0,1.0,2.0,1,Delia Sherman,1,eng,2006.0,Viking Juvenile
35,4.06,137,4454,302,105.0,2532.0,5.0,1.0,1.0,0,Patricia A. McKillip,1,eng,2003.0,Firebird
36,4.17,228,1176,96,70.0,418.0,3.0,1.0,0.0,0,Zilpha Keatley Snyder,1,eng,2004.0,iUniverse
37,3.55,339,301,43,13.0,57.0,2.0,1.0,0.0,0,Kate Horsley,1,eng,2005.0,Shambhala
38,3.98,369,345,12,61.0,221.0,0.0,0.0,0.0,1,Philippa Carr,1,eng,1990.0,Ivy Books
39,3.83,388,29686,2626,28.0,602.0,52.0,17.0,0.0,0,Edward P. Jones,1,eng,2006.0,Amistad
40,3.83,14,55,12,28.0,602.0,52.0,17.0,0.0,0,Edward P. Jones,2,eng,2004.0,HarperAudio
41,3.83,576,22,3,28.0,604.0,52.0,17.0,0.0,0,Edward P. Jones,1,eng,2004.0,Harper
42,3.83,334,1456,82,41.0,57.0,5.0,0.0,1.0,0,Satyajit Das,1,eng,2006.0,FT Press
43,4.13,352,52,4,67.0,143.0,0.0,0.0,0.0,0,Mark Smylie,1,eng,2005.0,Archaia
44,4.42,416,562,37,102.0,1541.0,1.0,0.0,0.0,1,John McPhee,2,eng,1982.0,Farrar Straus and Giroux
45,3.95,248,1630,203,102.0,1542.0,2.0,1.0,0.0,0,John McPhee,1,eng,2006.0,Farrar Straus Giroux
46,4.17,128,268,22,102.0,1541.0,0.0,0.0,0.0,0,John McPhee,1,eng,1986.0,Farrar Straus and Giroux
47,4.24,288,3498,305,102.0,1541.0,1.0,3.0,1.0,0,John McPhee,1,eng,1990.0,Farrar Straus and Giroux
48,4.34,720,3115,228,102.0,1539.0,13.0,4.0,1.0,0,John McPhee,1,eng,1999.0,Farrar Straus and Giroux
49,4.22,448,5704,261,102.0,1541.0,7.0,1.0,0.0,0,John McPhee,1,eng,1991.0,Farrar Straus and Giroux
50,3.92,160,698,52,102.0,1541.0,1.0,0.0,0.0,0,John McPhee,1,non-eng,1994.0,Farrar Straus and Giroux
51,4.23,288,542,36,102.0,1541.0,2.0,0.0,0.0,0,John McPhee,1,eng,1994.0,Farrar Straus and Giroux
52,4.23,208,1341,98,102.0,1541.0,1.0,0.0,0.0,0,John McPhee,1,eng,1987.0,Farrar Straus and Giroux
53,3.75,81,1423,70,58.0,64.0,2.0,0.0,0.0,0,Wendy Wasserstein,1,eng,2002.0,Dramatists Play Service
54,3.84,249,2766,64,58.0,64.0,1.0,0.0,0.0,0,Wendy Wasserstein,1,eng,1991.0,Vintage
55,3.94,138,31,1,73.0,11.0,0.0,0.0,0.0,0,Heidi Hayes Jacobs,1,eng,2006.0,Routledge
56,3.77,128,62,4,23.0,27.0,0.0,0.0,0.0,0,Heidi Boyd,1,eng,2006.0,North Light Books
57,4.46,192,860,53,139.0,91.0,1.0,0.0,0.0,0,Heidi Baker,2,eng,2003.0,Chosen Books
58,3.68,108,77,2,73.0,11.0,0.0,0.0,0.0,0,Heidi Hayes Jacobs,1,eng,1997.0,Association for Supervision & Curriculum Development
59,3.99,352,153317,2257,1297.0,645.0,94.0,34.0,17.0,1,Johanna Spyri,3,eng,2002.0,Kingfisher
60,3.25,192,55,5,73.0,11.0,0.0,0.0,0.0,0,Heidi Hayes Jacobs,1,eng,2004.0,ASCD
61,4.46,192,34,6,139.0,91.0,1.0,0.0,0.0,0,Rolland Baker,2,eng,2003.0,Sovereign World
62,3.89,832,11797,659,153.0,161.0,19.0,1.0,0.0,0,Heidi Murkoff,5,eng,2003.0,Workman Publishing Company
63,3.82,123,34,8,4.0,9.0,0.0,0.0,0.0,0,Heidi Fleiss,2,eng,2004.0,One Hour Entertainment
64,3.78,128,78,4,23.0,27.0,0.0,0.0,0.0,0,Heidi Boyd,1,eng,2004.0,North Light Books
65,3.84,423,2785,166,485.0,12700.0,306.0,6.0,2.0,1,Frank Herbert,1,eng,1987.0,Ace Books
66,3.91,436,38778,568,485.0,12700.0,192.0,2.0,2.0,1,Frank Herbert,1,eng,1987.0,Ace Books
67,3.88,331,97494,2359,485.0,12700.0,264.0,19.0,6.0,1,Frank Herbert,1,eng,1987.0,Ace Books
68,4.01,592,784,21,211.0,1723.0,1.0,0.0,0.0,0,Brian Herbert,1,eng,2004.0,Tor Books
